job_title,company_title,job_description
Remote Python Data Science Analyst,Turing,"A leading US client is seeking Data Scientists.

As a Data Scientist on our team, your daily tasks will involve conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities

Develop Python codes and work on public datasets for extracting information.
Communicate with researchers to stay aware of organizational goals.
Develop of code using Jupyter notebooks
Work with available data to address key queries using public sources like Kaggle or others.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or similar
Minimum 2 years spent in the role of a data scientist.
2 years specializing in data analysis.
Demonstrated proficiency in Python over 2 years of professional work.
Robust grasp of data science and analysis fundamentals.
Fluent in both spoken and written English.

Nice To Have

Familiarity with SQL is preferable
Excellence in problem-solving and analysis is required.

Job Benefits

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Advance your career journey by joining us now. Complete the assessments and MCQs today to enhance your chances of securing one of our stimulating positions. Seize this opportunity to make a significant impact on our mission and reshape the technology landscape for everyone."
Remote Python Data Science Analyst,Turing,"A leading US client is seeking Data Scientists.

As a Data Scientist on our team, your daily tasks will involve conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities

Develop Python codes and work on public datasets for extracting information.
Communicate with researchers to stay aware of organizational goals.
Develop code using Jupyter notebooks
Work with available data to address key queries using public sources like Kaggle or others.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or similar
Minimum 2 years spent in the role of a data scientist.
2 years specializing in data analysis.
Demonstrated proficiency in Python over 2 years of professional work.
Robust grasp of data science and analysis fundamentals.
Fluent in both spoken and written English.

Nice To Have

Familiarity with SQL is preferable
Excellence in problem-solving and analysis is required.

Job Benefits

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Advance your career journey by joining us now. Complete the assessments and MCQs today to enhance your chances of securing one of our stimulating positions. Seize this opportunity to make a significant impact on our mission and reshape the technology landscape for everyone."
Remote Data Science Analyst (Python),Turing,"A distinguished US-based client seeks a dedicated Data Scientist to join their dynamic team.

As a Data Scientist within the team, your daily tasks will include performing rigorous peer code reviews and delivering insightful feedback for continuous improvement. Additionally, you will collaborate closely with researchers and stakeholders to ensure alignment with project needs.

Job Responsibilities

Develop Python code to analyze public datasets and extract meaningful insights.
Collaborate closely with researchers to ensure project alignment with company objectives.
Utilize Jupyter notebooks for efficient coding and documentation.
Leverage data from public sources like Kaggle to address business queries and enhance decision-making processes.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or a related discipline.
At least 2 years of experience as a data scientist.
Proven track record of 2 years in data analysis.
Professional proficiency in Python demonstrated over 2 years.
Solid grasp of data science and analysis concepts.
Fluent communication skills in both spoken and written English.

Nice To Have

Proficiency in SQL is beneficial.
Strong problem-solving and analytical skills.

Job Benefits

Collaborate with top experts from around the globe and become part of a network matching your goals
Work remotely from anywhere. No more traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Come aboard and boost your career now. Complete the tests and multiple-choice questions today to enhance your odds of landing one of our exciting positions. Seize this opportunity to play a crucial role in our mission and revolutionize the technology landscape for all."
Remote Python Data Science Analyst,Turing,"A prominent US client is seeking Data Scientists.

As a Data Scientist on our team, your daily responsibilities will include conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities

Craft Python codes and work on public datasetsto draw insights.
Collaborate with researchers to align with company objectives.
Use Jupyter notebooks to write codes
Utilize data to address business queries leveraging public sources like Kaggle.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or similar experience
Possess a minimum of 2 years' experience as a data scientist.
2 years of proven expertise in data analysis.
Proficiency in Python demonstrated through 2 years of professional practice.
Sound comprehension of data science and analysis concepts.
Fluent in both spoken and written English.

Nice To Have

Proficiency in SQL is advantageous.
Strong problem-solving and analytical skills are required.

Job Benefits

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Don't miss out on this opportunity to propel your career to new heights. Complete the assessments and MCQs promptly to boost your likelihood of securing one of our dynamic positions. Take advantage of this moment to be a driving force in our mission and transform the technology industry for the better."
Remote Python Data Science Analyst,Turing,"A prominent US client is seeking Data Scientists.

As a Data Scientist on our team, your daily responsibilities will include conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities

Craft Python codes and work on public datasetsto draw insights.
Collaborate with researchers to align with company objectives.
Use Jupyter notebooks to write codes
Utilize data to address business queries leveraging public sources like Kaggle.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or similar experience
Possess a minimum of 2 years' experience as a data scientist.
2 years of proven expertise in data analysis.
Proficiency in Python demonstrated through 2 years of professional practice.
Sound comprehension of data science and analysis concepts.
Fluent in both spoken and written English.

Nice To Have

Proficiency in SQL is advantageous.
Strong problem-solving and analytical skills are required.

Job Benefits

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Don't miss out on this opportunity to propel your career to new heights. Complete the assessments and MCQs promptly to boost your likelihood of securing one of our dynamic positions. Take advantage of this moment to be a driving force in our mission and transform the technology industry for the better."
"Digital Data Analyst - Development, Reporting And Data Science in Hyderabad",The Egg Company,"The Egg, a Google Premier Partner, is on the lookout for digital data analysts to join our talented and growing team of international digital experts focused on performance marketing and paid media.

As part of our team, you will specialize in working with digital multi-channel marketing data spanning search, social, and display across global markets. This is not only an opportunity to grow in the area of data science, business intelligence, automation, data engineering or application development but also an avenue to work on exciting projects for top international brands.

Successful candidates will have a chance to work with an innovative team on exciting regional and global client projects for top international brands. They will gain an advanced understanding and master across search and social media data such as Google, Microsoft Ads (Bing), YouTube, LinkedIn, Meta (Facebook/Instagram).

Key Responsibilities

 Visualize ad platform and client marketing data with analytics tools such as Power BI to generate dashboards, automated reports and insights
 Work with APIs from ad platforms including but not limited to Google Ads, Meta/Facebook Marketing, LinkedIn Marketing, Twitter and Bing.
 Develop custom innovative data blending, analytics and data mining solutions.
 Support automation and data science initiatives for paid media with existing data team.
 Apply data science techniques to monitor, analyze key metrics and provide recommendations to clients.
 Support managing cloud or on-premises Linux server and database.
 Demonstrate passion for the search engine and online marketing space by staying abreast of industry news

Requirements

 Fresh graduates and those with up to 2 years of experience possessing strong programming skills or relevant internship experience are welcome to apply.
 Passion for technical problem solving, crunching numbers and finding patterns from data is a must.
 Aspiration for a long-term career in data science, analytics, engineering or visualization
 Strong Python programming skills.
 SQL skills (e.g. PostgreSQL) and understanding in ETL process is a plus.
 Experience in communicating with APIs (e.g. sending requests to API and handling responses from API).
 Experience with data visualization software (e.g. Power BI or Tableau).
 Experience in cloud computing service (e.g. Azure or AWS).
 Experience in a Linux environment is a plus.

About Company: There are over 2 billion internet users in Asia. That's almost equal to the rest of the world combined. Brands that target Asia without mastering digital will miss unprecedented profit potential.

However, each Asian country comes with unique search engines, language challenges, user habits, and cultural norms. This is impossible to navigate without digital ingenuity and local expertise.

That's where The Egg comes in.

Harnessing Asia's diversity and bridging cultural gaps not just between East and West but between distinct Asian regions, The Egg localizes brand messages and digital strategies across vastly different national markets, online platforms, and consumer demands.

With offices across Asia and 60+ digital specialists native to those diverse locales, The Egg provides practical SEO, SEM, and social solutions for powerhouses like eBay, Amazon, Airbnb, Salesforce, The Economist, and Shiseido.
Desired Skills and Experience
Python, SQL, Problem Solving, REST API, Power BI"
Data Analyst,Digital India Corporation,"Digital India Corporation is currently inviting applications for the position of Data Analyst purely on Contract/Consolidated basis for NHAI Datalake3.0 project.

The last date of submission of applications shall be 14.07.2024.

Name of Post: Data Analyst

Number of positions: 01

Roles And Responsibilities Of Data Analyst

Ensure compliance with relevant data policies/guidelines/rules as set forth by the Data Management Office (when established) or any other Government of India agency;
Streamline data collection practices and systems within the host Ministry/Department/Agency;
Ensure data integrity and accurate record-keeping by supporting data collection and management efforts (data entry into electronic formats, SOP based data verification);
Create, maintain, and improve the quality of data repositories for the host Ministry/Department/Agency;
Perform data analysis for cleaning data, and generation of insights;
Perform quality assurance checks on datasets;
Maintain detailed documentation on data management decisions and technical work;
Work on cross-sectoral initiatives across governments to extract data from data warehouses and other back-end systems;
Develop data feeds and automated reporting through dashboarding;
Stay up-to-date with industry trends and best practices in data management, data analysis and visualization;
Develop and ensure adoption of data storage, archival and deletion SOPs in alignment with relevant government policies/guidelines/rules.

Important Links

Download Detailed Notification Click Here (680 KB) Apply Here Click Here Official Website Click Here

About Digital India Corporation

Digital India Corporation has been set up by the ‘Ministry of Electronics & Information Technology, Government of India’, to innovate, develop and deploy ICT and other emerging technologies for the benefit of the common man. It is a ‘not for profit’ Company under Section 8 of the Companies Act 2013. The Company has been spearheading the Digital India programme of the Government of India, and is involved in promoting use of technology for e-Governance/e-Health / Telemedicine, e-agriculture, e-Payments etc. The Digital India programme promotes safety and security concerns of growing cashless economy and addresses challenges confronting its wider acceptance. It also promotes innovation and evolves models for empowerment of citizens through Digital initiatives and promotes participatory governance and citizen engagement across the government through various platforms including social media."
Data analyst,busisol sourcing india pvt. ltd,"Job description : We are looking for an experienced Data Analyst, who possesses most or all of the following qualities:

Self-starter, able to work on his own with little supervision
Strong goal orientation
Focus on quality and continuous improvement
Willingness to learn
Ability to work under pressure
Very good communication skills and ability to work with all levels of a large organization
Attention to detail
Ability to manage multiple tasks simultaneously
Ability to work in a team or in collaboration with others from various departments
Creativity Skills required to perform the job:
Must have knowledge of MSBI on reporting services (SSIS)
Must have knowledge of text, csv and excel file transformation
Must have very good knowledge of SSMS (SQL server queries, Joins and relational database management system
Excellent English comprehension (verbal and written)
Shipping industry/ Chartering background
Advanced knowledge of Excel (pivot tables, formulas, charts, etc.) and data mining. VBA / Macros knowledge will be an advantage.
Good understanding of basic mathematics concepts when working with numbers Main Responsibilities:
Manage and prepare KPI daily/weekly/monthly reports for the Hub & Clients
Assess /evaluate client needs for initial scope of any required reports and prepare them on time and with good quality
Manage hub & client expectations with regards to reporting
Identify any errors in existing reporting methods and propose ways to fix them
Come up with ideas & suggestions for improvements of existing reports or adding new features to them"
"Data Analyst, IT PLM Platform",Allegion,"Creating Peace of Mind by Pioneering Safety and Security

At Allegion, we help keep the people you know and love safe and secure where they live, work and visit. With more than 30 brands, 12,000+ employees globally and products sold in 130 countries, we specialize in security around the doorway and beyond. Additionally, in 2024 we were awarded the Gallup Exceptional Workplace Award, which recognizes the most engaged workplace cultures in the world. 

What You’ll Do

Collaborate with stakeholders to understand business requirements and identify data analytics needs in the context of PLM (Product Lifecycle Management) systems and enterprise processes.
Design and develop scalable data models and algorithms to analyze PLM data and extract relevant insights.
Build and maintain data pipelines to collect, process, and transform data from PLM and other relevant data sources.
Develop and implement data analytics solutions using tools such as Python, R, and SQL.
Create and present reports and visualizations to communicate data-driven insights and recommendations to stakeholders in tools like Power BI.
Collaborate with IT teams to ensure data integrity, data quality, and security in PLM data analytics processes.

Stay updated with industry trends and best practices in data analytics and within PLM

We Celebrate Who We Are! 

Allegion is committed to building and maintaining a diverse and inclusive workplace. Together, we embrace all differences and similarities among colleagues, as well as the differences and similarities within the relationships that we foster with customers, suppliers and the communities where we live and work. Whatever your background, experience, race, color, national origin, religion, age, gender, gender identity, disability status, sexual orientation, protected veteran status, or any other characteristic protected by law, we will make sure that you have every opportunity to impress us in your application and the opportunity to give your best at work, not because we’re required to, but because it’s the right thing to do. We are also committed to providing accommodations for persons with disabilities. If for any reason you cannot apply through our career site and require an accommodation or assistance, please contact our Talent Acquisition Team.

© Allegion plc, 2023 | Block D, Iveagh Court, Harcourt Road, Dublin 2, Co. Dublin, Ireland

REGISTERED IN IRELAND WITH LIMITED LIABILITY REGISTERED NUMBER 527370

Allegion is an equal opportunity and affirmative action employer

Privacy Policy"
S&C Global Network - AI - Life Sciences -Data Science Analyst,Accenture in India,"Entity: - Accenture Strategy & Consulting

Team: - Global Network – Data & AI

Practice: - Life Sciences

Title: - Ind & Func AI Decision Science Consultant

Job Location: - Delhi, Gurgaon, Mumbai, Bangalore

About Strategy & Consulting Global Network: - Accenture S&C Global Network - Data & AI practice help our clients grow their business in entirely new ways. Analytics enables our clients to achieve high performance through insights from data - insights that inform better decisions and strengthen customer relationships. From strategy to execution, Accenture works with organizations to develop analytic capabilities - from accessing and reporting on data to predictive modelling - to outperform the competition.

WHAT’S IN IT FOR YOU?

An opportunity to work on high-visibility projects with top Pharma clients around the globe. 
Potential to Co-create with leaders in strategy, industry experts, enterprise function practitioners, and business intelligence professionals to shape and recommend innovative solutions that leverage emerging technologies.
Ability to embed responsible business into everything—from how you service your clients to how you operate as a responsible professional. 
Personalized training modules to develop your strategy & consulting acumen to grow your skills, industry knowledge, and capabilities. 
Opportunity to thrive in a culture that is committed to accelerating equality for all. Engage in boundaryless collaboration across the entire organization.


What You Would Do In This Role

Support delivery of small to medium-sized teams to deliver consulting projects for global clients. 
Responsibilities may include strategy, implementation, process design, and change management for specific modules. 
Work with the team or as an Individual contributor on the project assigned which includes a variety of skills to be utilized from Data Engineering to Data Science
Develop assets and methodologies, point-of-view, research, or white papers for use by the team and the larger community.
Work on variety of projects in Data Modeling, Data Engineering, Data Visualization, Data Science etc.,
Acquire new skills that have utility across industry groups.
Support strategies and operating models focused on some business units and assess likely competitive responses. Also, assess implementation readiness and points of greatest impact.
Make presentations wherever required to a known audience or client on functional aspects of his or her domain.


Who are we looking for?

Bachelor’s or Master’s degree in Statistics, Data Science, Applied Mathematics, Business Analytics, Computer Science, Information Systems, or other Quantitative field.
Proven experience (2+ years) in working on Life Sciences/Pharma/Healthcare projects and delivering successful outcomes.
Understanding of Pharma data sets – commercial, clinical, RWE (Real World Evidence) & EMR (Electronic medical records) 
Leverage one’s hands on experience of working across one or more of these areas such as real-world evidence data, R&D clinical data, digital marketing data.
Hands-on experience in building and deployment of Statistical Models/Machine Learning including Segmentation & predictive modeling, hypothesis testing, multivariate statistical analysis, time series techniques, and optimization.
Hands-on experience with handling Datasets like Komodo, RAVE, IQVIA, Truven, Optum etc.
Proficiency in Programming languages such as R, Python, SQL, Spark, etc.
Ability to work with large data sets and present findings/insights to key stakeholders; Data management using databases like SQL.
Experience with any of the cloud platforms like AWS, Azure, or Google Cloud for deploying and scaling language models.
Experience with any of the Data Visualization tools like Tableau, Power BI, Qlikview, Spotfire is good to have.
Excellent analytical and problem-solving skills, with a data-driven mindset.
Proficient in Excel, MS Word, PowerPoint, etc.
Ability to solve complex business problems and deliver client delight.
Strong writing skills to build points of view on current industry trends.
Good communication, interpersonal, and presentation skills 


Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law."
PROPCHK - Data Analyst - Tableau/Power BI,PropChk,"Hey there, future rockstars! Ever heard of PropChk? We're not just any property inspection company - we're India's leading champs in the game! With our footprints across Delhi NCR, Mumbai, Bangalore, Pune, and Hyderabad, we've been shaking things up since day one.

In just 2. 5 years, we've strutted through over 7000 inspections, earning ourselves quite the rep in both B2C and B2B circles. Now, we're not ones to pat ourselves on the back (okay, maybe a little), but we're on a turbo-charged growth spree - doubling our team size like it's nobody's business.

Why? Because we believe the heart of any epic saga lies in its heroes - that's you, potential unicorn wranglers! If you've got the passion, the drive, and a sprinkle of magic to fuel our journey to the stars, then PropChk is your new home sweet home.

Join us and let's paint the town red (and green and blue and yellow - you get the picture)! We've got spots aplenty waiting for legends like you.

What are you waiting for? Let's make unicorns fly together! Multiple Vacancies, unlimited fun.

Data Analyst and Technology Coordinator.

Position Overview

We are seeking a proactive and detail-oriented Data Analyst and Technology Coordinator to join our team.

In this role, you will be responsible for managing data from various departments, compiling it into Management Information Systems (MIS), and conducting online research to support our business needs.

Additionally, you will play a crucial role in understanding our in-house technology products, gathering requirements, and liaising with the tech team for development and testing.

Key Responsibilities

Data Management :

 Collect and consolidate data from multiple departments to create comprehensive Management Information Systems (MIS).
 Ensure data accuracy, completeness, and integrity through regular audits and validations.

Research And Data Collection

 Conduct online research to gather market intelligence, industry trends, and competitive analysis.
 Collect and organize data from external sources to support business decision-making.

Technology Coordination

 Understand our in-house technology products and services thoroughly.
 Collaborate with stakeholders to gather requirements and translate them into technical specifications for the development team.
 Facilitate communication between business stakeholders and the tech team throughout the development lifecycle.
 Test applications and software updates to ensure they meet functional requirements and quality standards.

Reporting And Analysis

 Generate reports and dashboards to visualize data trends, performance metrics, and key insights.
 Provide analytical support to management and stakeholders for strategic planning and decision-making.

Requirements

 Bachelor's degree in Computer Science, Information Systems, Business Administration, or a related field.
 Proven experience in data analysis, data management, and technology coordination.
 Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
 Experience with data visualization tools (e., Tableau, Power BI) and proficiency in SQL for data querying and manipulation.
 Excellent communication and interpersonal skills to collaborate effectively with cross-functional teams.
 Ability to manage multiple projects simultaneously and prioritize tasks to meet deadlines.
 Familiarity with agile methodologies and software development lifecycle (SDLC) processes is a plus.

(ref:hirist.tech)"
Interesting Job Opportunity: Data Analyst,MAPCOM INFO SOLUTION,"MapCom Info Solution Private Limited is a dynamic and innovative company specializing in [brief description of the company's focus, e.g., data analytics, IT solutions, etc.]. We are committed to delivering cutting-edge solutions to our clients and leveraging data-driven insights to optimize business processes.

Job Description

We are seeking a detail-oriented and analytical Data Analyst to join our growing team. The ideal candidate will turn data into information, information into insight, and insight into business decisions. The Data Analyst will play a crucial role in analyzing large datasets to identify trends, develop visualizations, and provide actionable recommendations to enhance operational efficiencies and drive business growth.

Responsibilities

 Interpret data, analyze results using statistical techniques, and provide ongoing reports.
 Develop and implement databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and quality.
 Acquire data from primary or secondary data sources and maintain databases/data systems.
 Identify, analyze, and interpret trends or patterns in complex data sets.
 Filter and ""clean"" data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems.
 Work closely with management to prioritize business and information needs.
 Locate and define new process improvement opportunities.

Requirements

 Proven working experience as a Data Analyst or Business Data Analyst.
 Technical expertise regarding data models, database design development, data mining, and segmentation techniques.
 Strong knowledge of and experience with reporting packages (Business Objects, Power BI, Tableau), databases (SQL, etc.), programming (XML, Javascript, or ETL frameworks).
 Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc.).
 Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
 Adept at queries, report writing, and presenting findings.

Education

 Bachelor's degree in Mathematics, Economics, Computer Science, Information Management, Statistics, or related field; Master's degree preferred.

Additional Skills

 Excellent communication and presentation skills.
 Proven ability to work collaboratively in a team environment.
 Experience in data visualization and creating dashboards is a plus.

Benefits

 Competitive salary and benefits package.
 Opportunity to work in a dynamic, collaborative, and innovative environment.
 Professional development and training opportunities.

(ref:hirist.tech)"
Data Analyst_Jedox_Pune,_VOIS,"The Business Intelligence Advisor supports in the delivery of Business Intelligence (BI) capabilities, which play a key role in strategic planning and allow the organisation to gather, store, access and analyse business data to inform decision-making. The Business Intelligence Advisor conveys a good understanding of established concepts and procedures in ensuring the business receives a great information service that is central to their commercial decision making and growing the reliability and creativity of BI�s solutions and services. They support the team with detailed data analysis, implement dashboards and ensure decision support systems are in place that best serve the business in their decision making, whilst adhering to Standards, policy and legislation.Typically reports to the Business Intelligence Manager.

About VOIS

In 2009, _VOIS started operating in India and now has established global delivery centers in Pune, Bangalore and Ahmedabad. With more than 14,500 employees, _VOIS India supports global markets and group functions of Vodafone, and delivers best-in-class customer experience through multi-functional services in the areas of Information Technology, Networks, Business Intelligence and Analytics, Digital Business Solutions (Robotics & AI), Commercial Operations (Consumer & Business), Intelligent Operations, Finance Operations, Supply Chain Operations and HR Operations and more.

_VOIS (Vodafone Intelligent Solutions) is a strategic arm of Vodafone Group Plc, creating value and enhancing quality and efficiency across 28 countries, and operating from 7 locations: Albania, Egypt, Hungary, India, Romania, Spain and the UK.

Over 29,000 highly skilled individuals are dedicated to being Vodafone Group’s partner of choice for talent, technology, and transformation. We deliver the best services across IT, Business Intelligence Services, Customer Operations, Business Operations, HR, Finance, Supply Chain, HR Operations, and many more.

Established in 2006, _VOIS has evolved into a global, multi-functional organization, a Centre of Excellence for Intelligent Solutions focused on adding value and delivering business outcomes for Vodafone.

Role Purpose

Essential

Education: Graduate or PG in Engineering / Business Management / Computer Application

Certifications in relevant areas would be advantageous

Good Experiences In:

 EPM preferably Jedox / Hyperion
 SQLs
 Finance (Controlling & Planning)
 Problem solving
 Stakeholder management

Desired

 Hyperion
 ODI
 SQL / Teradata

Role Purpose

 Accountable for implementation of projects for Finance controlling and planning department using tools like Jedox & Hyperion
 She/he will be responsible for managing end-to-end close cycle with coordination of finance controller which includes delivering MEC on time with minimal defect.
 Responsible for maintaining and enhancing hierarchical structure (Metadata).
 Accountable to be in close coordination with finance planner during all business cycle of planning, budgeting and forecasting.
 Helping business with his/her techno-functional expertise in budgeting process, Cost Allocation, Consolidation, Process.
 Accountable to manage the all aspects of development project including schedule, effective communication, expenses as per budgeting, aligning the resources.

Essential

Key Accountabilities 

 Good finance background mainly in Finance Controlling and Planning
 EPM (Jedox /Hyperion) work experience with medium scale implementation preferably Jedox
 Rich experience in developing and maintaining Planning applications
 Ability to perform ad hoc and routine financial month end close task.
 Ability to help corporate FP&A team manage and complete budgeting and forecasting cycles.
 Providing installation, configuration, and troubleshooting assistance.
 Understanding the business requirements and translating into a successful system solution implementation.
 Providing requirements gathering, design, development, testing, and implementation activities.
 Defining test conditions and test scripts to ensure system stability, validity and data integrity.
 Strong ability to understand finance and accounting principles
 Capture, analyze and organize large volumes of work and prioritize across them with the agreement with Service owner
 Telecom business information framework developed with all the facts and dimensions explaining relationship and business rules
 Deliver business insights in the form of interface, report/dashboard, business processes, application matching visualization standards
 Deliver requests as per the specification on time, with high accuracy and match business expectations
 Impart domain knowledge within the team and build team for future challenges in terms of adopting new technology
 Develop a strong partner relationship through proactive communication, interactions, engagement and value addition
 Lead , Facilitate and participate in interaction with stakeholders

 _VOIS Equal Opportunity Employer Commitment

_VOIS is proud to be an Equal Employment Opportunity Employer. We celebrate differences and we welcome and value diverse people and insights. We believe that being authentically human and inclusive powers our employees’ growth and enables them to create a positive impact on themselves and society. We do not discriminate based on age, color, gender (including pregnancy, childbirth, or related medical conditions), gender identity, gender expression, national origin, race, religion, sexual orientation, status as an individual with a disability, or other applicable legally protected characteristics.

As a result of living and breathing our commitment, our employees have helped us get certified as a Great Place to Work in India for four years running. We have been also highlighted among the Top 5 Best Workplaces for Diversity, Equity, and Inclusion, Top 10 Best Workplaces for Women, Top 25 Best Workplaces in IT & IT-BPM and 14th Overall Best Workplaces in India by the Great Place to Work Institute in 2023. These achievements position us among a select group of trustworthy and high-performing companies which put their employees at the heart of everything they do.

By joining us, you are part of our commitment. We look forward to welcoming you into our family which represents a variety of cultures, backgrounds, perspectives, and skills!

Apply now, and we’ll be in touch!"
Data Analyst,Oil and Gas Job Search Ltd,"Vestas is the world leader in wind technology and a driving force in the development of the wind power industry. Vestas' core business comprises the development, manufacture, sale, marketing and maintenance of Wind Turbines. Come and join us at Vestas!

Global Manufacturing -> Engineering & Business Service center -> SCM EBSC

Supply chain management supports direct material buying, transportation, production planning, CAPEX buying & logistics coordination and ensures to deliver the required materials on time in full, at a minimal cost to all global Vestas factories, sites and wind farms.

Department's goal is to achieve 100% timely deliverables to all stakeholders along with process initiatives. This department is operating globally, so an international experience comes with the job. We are looking for skilled personals who are well structured, well organized and ready to work in an international Environment with many cultural differences. You need to be able to handle large amount of data, coordinating with various stake holders

Responsibilities

Develop effective data-gathering solutions and continuously improve data collection methods.
Ensure that collected data sets are stored efficiently in centralized databases.
Create robust data models to merge, manage, and extract data, providing tailored reports to stakeholders.
 Collaborate with business users to identify automation opportunities.
 Analyze data to propose effective solutions for decision-making.
 Design and develop reports and visualized dashboards using SAC or Power BI applications


Qualifications

 Any graduation, between 2-5 years of experience in programming, data analytics, 
 High skill level in programming languages (.NET C#, SQL)
 Preferred expertise in PowerApps & BI Tools (Power BI/ Tableau)
 High proficiency in MS access, Advanced excel, Power query. 
 Expertise in SAP ERP MM/TM modules, SAP GUI scripting to automate reporting.


Competencies

 Skillful in Extract Transform Load process, advanced Data Analysis & Expressions functions.
 Knowledge on SQL queries (Intermediate level)
 Create and maintain rich interactive visualizations through data interpretation from multiple data sources.
 Strong analytical skills to help collect, measure, organize and analyse data.
 Systematic and logical approach to build simple framework for complex problems.
 Should be able to create excel and access-based macros to support business operations


What We Offer

You'll have the opportunity to help strengthen the position of Vestas in a key market for the company with excellent perspectives of growth.

Join Vestas and you'll cultivate your career in an inspiring environment at the world's leading wind turbine producer, which has an ongoing dedication to sustainability. We value individual initiative, the desire to take on responsibility, and the right balance between creativity and quality in all solutions. At Vestas your success is our success.

Additional Information

Your primary workplace will be in Chennai, India. Please note: We do amend or withdraw our jobs and reserve the right to do so at any time, including prior to the advertised closing date. Please be advised to apply on or before 30th Aug 2024

BEWARE - RECRUITMENT FRAUD

It has come to our attention that there are a number of fraudulent emails from people pretending to work for Vestas. Read more via this link, https://www.vestas.com/en/careers/our-recruitment-process

DEIB Statement

At Vestas, we recognize the value of diversity, equity, and inclusion in driving innovation and success. We strongly encourage individuals from all backgrounds to apply, particularly those who may hesitate due to their identity or feel they do not meet every criterion. As our CEO states, ""Expertise and talent come in many forms, and a diverse workforce enhances our ability to think differently and solve the complex challenges of our industry"". Your unique perspective is what will help us powering the solution for a sustainable, green energy future.

About Vestas

Vestas is the energy industry's global partner on sustainable energy solutions. We are specialised in designing, manufacturing, installing, and servicing wind turbines, both onshore and offshore.

Across the globe, we have installed more wind power than anyone else. We consider ourselves pioneers within the industry, as we continuously aim to design new solutions and technologies to create a more sustainable future for all of us. With more than 173 GW of wind power installed worldwide and 40+ years of experience in wind energy, we have an unmatched track record demonstrating our expertise within the field.

With 29,000 employees globally, we are a diverse team united by a common goal: to power the solution - today, tomorrow, and far into the future.

Vestas promotes a diverse workforce which embraces all social identities and is free of any discrimination. We commit to create and sustain an environment that acknowledges and harvests different experiences, skills, and perspectives. We also aim to give everyone equal access to opportunity.

To learn more about our company and life at Vestas, we invite you to visit our website at www.vestas.com and follow us on our social media channels. We also encourage you to join our Talent Universe to receive notifications on new and relevant postings."
